2018-06-11 12:19:23 [py.warnings] WARNING: /home/moma/Documents/spider/coupon_new/coupon/coupon/pipelines.py:18: ScrapyDeprecationWarning: Module `scrapy.log` has been deprecated, Scrapy now relies on the builtin Python library for logging. Read the updated logging entry in the documentation to learn more.
  from scrapy import log

2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006125741921013762, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138664148226053, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006160599758319616, status code 429
2018-06-11 12:21:13 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006124946915983361, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006065032436822017, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138233019760640, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006117446418300928, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006140292800614400, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006100265425162240, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006048213982502912, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006037517898899456, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006030795960737792, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006048395277078528, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006169806792462337, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006149197412880385, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006150370312286208, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006147810360635398, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006040086759305216, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006097220972793857, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006045994226774018, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005997593992794112, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006169133401149440, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006051171260301312, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005991349336854528, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006063504598675457, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006129358459850758, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006156037488029697, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006161512237555713, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006014042991943680, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006159526465327104, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006107311784517632, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006129520716288000, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006106652221812736, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006147577182654464, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006141506883932162, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006050546623700997, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006017233234079744, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006073420088569856, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006147860906340352, status code 429
2018-06-11 12:21:14 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006078612058116096, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006038402242961408, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006072842130153472, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006140843625938945, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006113818177515521, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006150873381158912, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006000629985304577, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005991633689743360, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005993785619251200, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006015694335561728, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006113212364775424, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006003655953321985, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006143338037350400, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006165000459833344, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006101265783427072, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006006660152877061, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006049439621009409, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006098089692794880, status code 429
2018-06-11 12:21:15 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138468135825408, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006159671676358656, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://www.amazon.com/gp/product/null/ref=xs_gb_rss_A38TNS4ST97948/?ccmID=380205&tag=atoz123-20&utm_source=dlvr.it&utm_medium=twitter, status code 404
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://www.nike.com/t/air-monarch-iv-unisex-training-shoe-lPtRrS/415445-101?cid=4942550&cp=usns_aff_nike, status code 403
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006140727917797376, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006092451617083392, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006161817759047680, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006020486583599104, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006158787143766018, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006100661405024256, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006051547065790465, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006137445547741185, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006171184805957632, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006019692413124608, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006162442949484544, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006169205505437696, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006132715081601025, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006080815414042625, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006144588199931904, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006075388915838976, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006010639368818688, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006069318369665026, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138417363726337, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006043873703890945, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006038578105896966, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006170276667764736, status code 429
2018-06-11 12:21:16 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/MomsTrustyDeals/status/1006024893497004035, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005998478625996800, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006099842052042752, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006146435841130496, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006038247892443136, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006146043434733570, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006074029587828736, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006098724932767744, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006121919320641536, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006136589175656448, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006165255662264325, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006045889272664064, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/hollyhoodhairco/status/1006029458485207040, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006154488942682112, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006122675461378048, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006133130485534721, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/PenzanceHour/status/1005881341391536128, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006164436787302401, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006068240521539585, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006118906522734592, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006061455098015749, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006167643882127360, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006147054266089473, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006078711886561280, status code 429
2018-06-11 12:21:17 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006123656886521856, status code 429
